% Model:              CantileverBeam_Success.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jun 14 2024, 21:41
% Dimension:          2
% Nodes:              183
% Expressions:        6
% Description:        Displacement field, Y-component
% Length unit:        m
% Eigenvalues:        [17.688, 111.22, 312.76, 625.77, 1073.1, 1077.4] Hz
% X                       Y                        v2 (m) @ lambda=1        v2 (m) @ lambda=2        v2 (m) @ lambda=3        v2 (m) @ lambda=4        v2 (m) @ lambda=5        v2 (m) @ lambda=6
0.026546908947344645      0.0127                   1.2282710387057002E-9    7.597581773674605E-9     2.1157909641259932E-8    4.4779524483933456E-8    6.954587840196805E-8     1.7717723632019422E-15
0.053093817894689296      0.0127                   4.843459736521605E-9     2.8858164286347087E-8    7.747217977214835E-8     1.5719970582693497E-7    2.32591079956621E-7      5.924567917766426E-15
0                         0.0127                   0                        0                        0                        0                        0                        0
0.07869417214402433       0.0127                   1.0506831612518153E-8    6.046149951274979E-8     1.5650747975997334E-7    3.0364303605102806E-7    4.250126929308593E-7     1.0823959055667442E-14
0.10429452639335937       0.0127                   1.8224608089065237E-8    1.0114092901455021E-7    2.514300533726893E-7     4.625636035551919E-7     6.033255623764082E-7     1.5362092214894905E-14
0.11990685670874342       0.0127                   2.390907005159029E-8     1.2973508890668145E-7    3.140926499995577E-7     5.570064126526599E-7     6.896091629697435E-7     1.755704513932911E-14
0.1355191870241275        0.0127                   3.030905258006812E-8     1.6064989244294816E-7    3.7797093281787424E-7    6.431876549373967E-7     7.488500769364128E-7     1.906366848221606E-14
0.14356001658644088       0.0127                   3.3878770444253516E-8    1.7735647919234737E-7    4.108300316614022E-7     6.83074866536838E-7      7.671302331137271E-7     1.9528585526733586E-14
0.15160084614875424       0.0127                   3.7630907526289444E-8    1.945208123667334E-7     4.433511563589056E-7     7.191987334599673E-7     7.763934186233251E-7     1.97644259051897E-14
0.1559810694573374        0.0127                   3.9750750089636967E-8    2.040450435169117E-7     4.608500052684756E-7     7.371335334407145E-7     7.775201082006362E-7     1.979339759042902E-14
0.16036129276592057       0.0127                   4.192357763404395E-8     2.1368087576623224E-7    4.781523192240004E-7     7.537521569768315E-7     7.758396625291334E-7     1.9751148394758126E-14
0.16226512143642016       0.0127                   4.2884397421259296E-8    2.1790167392317977E-7    4.856030993198587E-7     7.605490882555145E-7     7.742282618295709E-7     1.971047457321846E-14
0.16416895010691973       0.0127                   4.3855117180180166E-8    2.2214125963581924E-7    4.93007931010457E-7      7.670807876551355E-7     7.720818952045626E-7     1.965623786572072E-14
0.16458447505345986       0.0127                   4.4068296991970445E-8    2.2306901090979492E-7    4.946177250219582E-7     7.684706551632441E-7     7.715422660622455E-7     1.964260792570967E-14
0.165                     0.0127                   4.428194647601304E-8     2.2399761698245838E-7    4.962251784554613E-7     7.698476174836052E-7     7.709771361149682E-7     1.9628330703854426E-14
0.16535659354269655       0.0127                   4.4465669556276804E-8    2.2479520053227805E-7    4.976027697506392E-7     7.710189681322831E-7     7.7047182353119E-7       1.961556692498117E-14
0.16571318708539307       0.0127                   4.464973806204776E-8     2.2559340378219803E-7    4.989786004153504E-7     7.721807503317303E-7     7.699477326383121E-7     1.960232923631734E-14
0.1660697806280896        0.0127                   4.483415177527181E-8     2.2639222219483933E-7    5.003526534646958E-7     7.733329347069947E-7     7.694048652821843E-7     1.9588614145411304E-14
0.16642637417078615       0.0127                   4.5018910477906595E-8    2.2719165123519007E-7    5.017249119554781E-7     7.744754921439543E-7     7.688432240832076E-7     1.957442644715209E-14
0.16678296771348272       0.0127                   4.52040139519156E-8      2.2799168636942587E-7    5.030953589654529E-7     7.756083936599471E-7     7.682628120535524E-7     1.9559759509429147E-14
0.1671395612561793        0.0127                   4.538946197927427E-8     2.2879232306610664E-7    5.044639776143096E-7     7.767316105339249E-7     7.676636329788526E-7     1.954462018321999E-14
0.16749615479887583       0.0127                   4.5575254341963874E-8    2.2959355679498768E-7    5.058307510428062E-7     7.778451141766955E-7     7.670456910359466E-7     1.952900359633501E-14
0.16785274834157238       0.0127                   4.576139082197785E-8     2.3039538302822616E-7    5.07195662433867E-7      7.789488762614545E-7     7.664089911739709E-7     1.9512914547544204E-14
0.1682035108623708        0.0127                   4.594481910732416E-8     2.3118467144772842E-7    5.085364218662207E-7     7.80025058338541E-7      7.657644074824887E-7     1.9496624043373325E-14
0.16855427338316922       0.0127                   4.612857992958816E-8     2.3197452446702163E-7    5.098753474629475E-7     7.810917609754099E-7     7.651016852921413E-7     1.947987696350661E-14
0.16882993760002363       0.0127                   4.6273230763509815E-8    2.3259566325964794E-7    5.109263115966966E-7     7.819234128011821E-7     7.645681269794628E-7     1.9466397930622457E-14
0.16910560181687806       0.0127                   4.641808675623023E-8     2.332171460235427E-7     5.119761255337212E-7     7.827491806778696E-7     7.640233727533114E-7     1.94526353082973E-14
0.16930280090843905       0.0127                   4.6521836725481164E-8    2.336619396762202E-7     5.127264102110345E-7     7.833362846536692E-7     7.636268101517599E-7     1.9442621676515934E-14
0.1695                    0.0127                   4.662569159422332E-8     2.341069075199021E-7     5.134760995280931E-7     7.839203664699344E-7     7.632245212714114E-7     1.943246222462054E-14
0.170697199091561         0.0127                   4.7259244247702634E-8    2.3681660227368845E-7    5.180240001811827E-7     7.874043452914209E-7     7.606193389109977E-7     1.9366639827432436E-14
0.17089439818312196       0.0127                   4.73640169103155E-8      2.3726307072360554E-7    5.18768390506606E-7      7.879618771788696E-7     7.60167176670968E-7      1.935520838892674E-14
0.1705                    0.0127                   4.7154576223958375E-8    2.3637030261623622E-7    5.172789946664205E-7     7.868437591161445E-7     7.610657858996154E-7     1.93779269217983E-14
0.1711700623999764        0.0127                   4.751065371211563E-8     2.3788746952899804E-7    5.198079358949401E-7     7.887361223958485E-7     7.595255245351743E-7     1.9338987425362688E-14
0.17144572661683083       0.0127                   4.765749481801162E-8     2.3851219460136756E-7    5.208462660584204E-7     7.895043783031539E-7     7.58872712645433E-7      1.932248446378051E-14
0.1717964891376293        0.0127                   4.784463458122545E-8     2.393075799043518E-7     5.22165696218282E-7      7.904732495782163E-7     7.580259313746615E-7     1.930108055443911E-14
0.17214725165842776       0.0127                   4.803210475666419E-8     2.4010348579645224E-7    5.234831308924717E-7     7.914323795075118E-7     7.571611014773445E-7     1.9279219278155248E-14
0.1725038452011243        0.0127                   4.822302989051642E-8     2.409131519285059E-7     5.24820404781555E-7      7.923974429652694E-7     7.562634056931783E-7     1.9256532081291328E-14
0.17286043874382084       0.0127                   4.8414296081144374E-8    2.4172334716933977E-7    5.261555837866475E-7     7.933523876153469E-7     7.553470814143206E-7     1.9233371268061034E-14
0.17321703228651736       0.0127                   4.860590311067774E-8     2.425340670183458E-7     5.274886515665211E-7     7.942971880679627E-7     7.544121421019202E-7     1.9209745140114662E-14
0.17357362582921387       0.0127                   4.87978507612591E-8      2.4334530697745557E-7    5.288195918239416E-7     7.952318192014218E-7     7.534586019771973E-7     1.9185647053402734E-14
0.17393021937191042       0.0127                   4.899013881503733E-8     2.441570625498725E-7     5.301483882837804E-7     7.961562560291262E-7     7.524864756456598E-7     1.9161081860424008E-14
0.17428681291460696       0.0127                   4.918276705417434E-8     2.4496932924135664E-7    5.314750247151291E-7     7.970704738332088E-7     7.514957784710081E-7     1.9136045727551522E-14
0.17464340645730347       0.0127                   4.937573526083829E-8     2.4578210255894854E-7    5.327994849092958E-7     7.979744480312225E-7     7.504865262002613E-7     1.9110541044119265E-14
0.175                     0.0127                   4.956904321721049E-8     2.4659537801226214E-7    5.341217527020341E-7     7.988681543100823E-7     7.494587353366759E-7     1.9084566747680644E-14
0.1758190926822658        0.0127                   5.001435544624347E-8     2.4846534263060226E-7    5.371506026162558E-7     8.008819796246276E-7     7.470278017735238E-7     1.902312913942237E-14
0.1766381853645316        0.0127                   5.046145646529963E-8     2.503378785663371E-7     5.401676051353967E-7     8.028412144309177E-7     7.444993641667471E-7     1.895921794675725E-14
0.18208938495332805       0.0127                   5.348235655016199E-8     2.6286133391986616E-7    5.599299035489164E-7     8.144685472797182E-7     7.252065294228183E-7     1.8471351486341305E-14
0.18754058454212452       0.0127                   5.658158996471534E-8     2.75480344077439E-7      5.791030937270155E-7     8.235903504604396E-7     7.016965216126085E-7     1.7876424544973164E-14
0.1993789890552397        0.0127                   6.357807239033475E-8     3.031343798708432E-7     6.184408544481029E-7     8.344493836241387E-7     6.367283182372487E-7     1.6230800148155934E-14
0.21121739356835492       0.0127                   7.093238735170704E-8     3.3100461059349495E-7    6.542288415162994E-7     8.327296268274151E-7     5.541473654753076E-7     1.4136816966921209E-14
0.23500000000000001       0.0127                   8.675109583151448E-8     3.869162640593666E-7     7.132616228592875E-7     7.906465732302337E-7     3.463643253251563E-7     8.860486984665991E-15
0.2587826064316451        0.0127                   1.0391787680592823E-7    4.418383151024087E-7     7.529350908608701E-7     6.986214464945306E-7     1.0099796530070737E-7    2.6196384474602962E-15
0.27062101094476027       0.0127                   1.1294833924146107E-7    4.684862202188978E-7     7.647716221054541E-7     6.353387302240814E-7     -2.7618107509865402E-8   -6.556792307178985E-16
0.28245941545787545       0.0127                   1.2228919093023736E-7    4.944573698889809E-7     7.709997943978889E-7     5.618212063079292E-7     -1.5474851459148503E-7   -3.896202783720755E-15
0.2879106150466719        0.0127                   1.2669265455656068E-7    5.061528878579425E-7     7.719389321634074E-7     5.24821668199985E-7      -2.1179093746285158E-7   -5.351334982183446E-15
0.2933618146354684        0.0127                   1.3115951587742394E-7    5.176635792242189E-7     7.716466158126332E-7     4.860222529235368E-7     -2.673610046313813E-7    -6.76969855494311E-15
0.29418090731773416       0.0127                   1.3183613514006945E-7    5.193764222025743E-7     7.714957573236169E-7     4.800447633921222E-7     -2.7556206220853456E-7   -6.979098057460435E-15
0.295                     0.0127                   1.3251416609277484E-7    5.210847660322571E-7     7.713169011637147E-7     4.7403011631464046E-7    -2.8372076869560737E-7   -7.187435734947835E-15
0.2953565935426965        0.0127                   1.32809788564984E-7      5.218270803542056E-7     7.71230283428456E-7      4.714001385267078E-7     -2.872591495518115E-7    -7.277794873151576E-15
0.29571318708539307       0.0127                   1.3310567789786982E-7    5.225685305218184E-7     7.711383543453728E-7     4.687632470614648E-7     -2.907891876261949E-7    -7.367946546557605E-15
0.29606978062808964       0.0127                   1.3340183387956245E-7    5.233091130788762E-7     7.710411125308504E-7     4.661194812623007E-7     -2.943107875707629E-7    -7.457882494623342E-15
0.29642637417078616       0.0127                   1.3369825629822777E-7    5.240488245746708E-7     7.709385566659584E-7     4.6346888063133E-7       -2.978238543314971E-7    -7.54760442128175E-15
0.29678296771348267       0.0127                   1.33994944942049E-7      5.247876615612574E-7     7.708306854642233E-7     4.60811484750178E-7      -3.0132829300530403E-7   -7.637109974425384E-15
0.29713956125617924       0.0127                   1.3429189959924537E-7    5.255256205962181E-7     7.70717497703839E-7      4.581473333574033E-7     -3.0482400899016535E-7   -7.726396091259258E-15
0.29749615479887576       0.0127                   1.3458912005805355E-7    5.262626982399041E-7     7.705989921954484E-7     4.554764662701692E-7     -3.083109078385718E-7    -7.815468909740069E-15
0.29785274834157227       0.0127                   1.3488660610674583E-7    5.269988910582115E-7     7.704751678143444E-7     4.5279892346076797E-7    -3.1178889541115157E-7   -7.904315046321552E-15
0.29820351086237074       0.0127                   1.3517948656557227E-7    5.277221790726545E-7     7.703481780286132E-7     4.5015868985068775E-7    -3.1520122580824986E-7   -7.991496368978529E-15
0.2985542733831692        0.0127                   1.3547262359313894E-7    5.284446043819609E-7     7.702160398611154E-7     4.4751207406928573E-7    -3.186047539000189E-7    -8.078455834570778E-15
0.29882993760002363       0.0127                   1.357031798635591E-7     5.290117507900632E-7     7.701085788981233E-7     4.4542764525682856E-7    -3.21273350967588E-7     -8.146644569124518E-15
0.29910560181687806       0.0127                   1.3593389437855066E-7    5.295783607668622E-7     7.699979370761762E-7     4.433393169143663E-7     -3.239364133546279E-7    -8.214693383845865E-15
0.2993028009084391        0.0127                   1.3609903529821452E-7    5.299833607474853E-7     7.699168365172577E-7     4.418430286510113E-7     -3.2583804136940515E-7   -8.263287025333882E-15
0.2995                    0.0127                   1.3626425711208174E-7    5.303880848302869E-7     7.698341078232334E-7     4.403447612722246E-7     -3.277367993506095E-7    -8.311808970281706E-15
0.300697199091561         0.0127                   1.372697058558873E-7     5.328402485024136E-7     7.692878646989153E-7     4.311635553839884E-7     -3.3925512982410614E-7   -8.606155490949345E-15
0.3008943981831219        0.0127                   1.3743563518993532E-7    5.332425373014907E-7     7.691908876846119E-7     4.2964823375821094E-7    -3.4112830933425703E-7   -8.65403980783915E-15
