% Model:              CantileverBeam_Split Beam.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 12 2024, 13:58
% Dimension:          2
% Nodes:              81
% Expressions:        6
% Description:        Displacement field, Y-component
% Length unit:        m
% EI-values:          [1000, 5000] Pa*m^4
% mu-values:          [1, 1] kg/m
% Eigenvalues:	      [10.622, 102.26, 370.41, 658.44, 731.43, 1142.7] Hz
% X                       Y                        v (m) @ lambda=1         v (m) @ lambda=2         v (m) @ lambda=3         v (m) @ lambda=4         v (m) @ lambda=5         v (m) @ lambda=6
0.7125000000000001        0.0127                   6.296760084631005E-7     2.77156379668536E-7      -3.803365772133367E-7    4.2268401177981433E-7    1.2095750813022488E-17   -3.32648251301524E-8
0.7250000000000001        0.0127                   6.45688074074896E-7      2.3111405303868362E-7    -3.7102690604600417E-7   4.597005222333253E-7     1.202693593206728E-17    -1.0396741913328948E-7
0.7375                    0.0127                   6.617279711582049E-7     1.835571941284165E-7     -3.530048873689528E-7    4.790813331269672E-7     1.1535027423294153E-17   -1.6835756561633904E-7
0.75                      0.0127                   6.777678682415135E-7     1.360003352181488E-7     -3.3498286869190127E-7   4.98462144020609E-7      1.1042917135965229E-17   -2.327477120993893E-7
0.7625                    0.0127                   6.938310420748633E-7     8.710758745288182E-8     -3.0871474011820155E-7   4.988550036788217E-7     1.0243339773555553E-17   -2.832748079402563E-7
0.7749999999999999        0.0127                   7.098942159082129E-7     3.821483968761542E-8     -2.8244661154450214E-7   4.992478633370344E-7     9.443745211282591E-18    -3.338019037811229E-7
0.7874999999999999        0.0127                   7.25976465521432E-7      -1.1828563388273553E-8   -2.486121109598169E-7    4.803065351452947E-7     8.432143451522876E-18    -3.643347968812017E-7
0.7999999999999999        0.0127                   7.420587151346502E-7     -6.187196646416285E-8    -2.1477761037513118E-7   4.6136520695355436E-7    7.420461354960759E-18    -3.948676899812803E-7
0.8125                    0.0127                   7.581562100772206E-7     -1.1287893323988353E-7   -1.7423655757336249E-7   4.237511617515298E-7     6.239940456459582E-18    -4.0131108904039846E-7
0.825                     0.0127                   7.742537050197914E-7     -1.6388590001560433E-7   -1.336955047715938E-7    3.861371165495057E-7     5.059472319871244E-18    -4.0775448809951706E-7
0.8374999999999999        0.0127                   7.903630021490929E-7     -2.1567232421157876E-7   -8.744475881359175E-8    3.314433398991479E-7     3.738833705310897E-18    -3.8842184759401813E-7
0.85                      0.0127                   8.064722992783941E-7     -2.6745874840755313E-7   -4.1194012855589855E-8   2.7674956324879024E-7    2.4183088347176393E-18   -3.69089207088519E-7
0.8625                    0.0127                   8.225903595638159E-7     -3.1984844567697136E-7   9.684098766375665E-9     2.0734915628432855E-7    9.844519892493227E-19    -3.247822525238756E-7
0.875                     0.0127                   8.387084198492374E-7     -3.722381429463894E-7    6.056221038834124E-8     1.3794874931986678E-7    -4.494658506980103E-19   -2.8047529795923206E-7
